,datetime,description,icon
0,2023-01-01,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-01-02,Clear conditions throughout the day.,clear-day
2,2023-01-03,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-01-04,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-01-05,Cloudy skies throughout the day.,cloudy
5,2023-01-06,Cloudy skies throughout the day.,cloudy
6,2023-01-07,Cloudy skies throughout the day.,cloudy
7,2023-01-08,Cloudy skies throughout the day.,cloudy
8,2023-01-09,Cloudy skies throughout the day.,cloudy
9,2023-01-10,Cloudy skies throughout the day.,cloudy
10,2023-01-11,Partly cloudy throughout the day.,partly-cloudy-day
11,2023-01-12,Partly cloudy throughout the day.,partly-cloudy-day
12,2023-01-13,Clearing in the afternoon.,partly-cloudy-day
13,2023-01-14,Partly cloudy throughout the day.,partly-cloudy-day
14,2023-01-15,Partly cloudy throughout the day.,partly-cloudy-day
15,2023-01-16,Partly cloudy throughout the day.,partly-cloudy-day
16,2023-01-17,Clearing in the afternoon.,partly-cloudy-day
17,2023-01-18,Partly cloudy throughout the day.,partly-cloudy-day
18,2023-01-19,Partly cloudy throughout the day.,partly-cloudy-day
19,2023-01-20,Partly cloudy throughout the day.,partly-cloudy-day
20,2023-01-21,Partly cloudy throughout the day with late afternoon rain.,rain
21,2023-01-22,Clearing in the afternoon.,partly-cloudy-day
22,2023-01-23,Partly cloudy throughout the day.,partly-cloudy-day
23,2023-01-24,Cloudy skies throughout the day.,cloudy
24,2023-01-25,Partly cloudy throughout the day.,partly-cloudy-day
25,2023-01-26,Partly cloudy throughout the day.,partly-cloudy-day
26,2023-01-27,Partly cloudy throughout the day.,partly-cloudy-day
27,2023-01-28,Partly cloudy throughout the day.,partly-cloudy-day
28,2023-01-29,Partly cloudy throughout the day.,partly-cloudy-day
29,2023-01-30,Partly cloudy throughout the day.,partly-cloudy-day
30,2023-01-31,Partly cloudy throughout the day.,partly-cloudy-day
31,2023-02-01,Partly cloudy throughout the day with late afternoon rain.,rain
