,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Rio de Janeiro, RJ, Brasil",2023-01-01,28.0,23.0,25.0,30.1,23.0,25.2,22.1,84.5,0.0,0,0.0,rain,0,,10.8,27.7,118.3,1013.1,47.3,10.9,239.0,20.8,10,30,2023-01-01T05:10:52,2023-01-01T18:41:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
1,"Rio de Janeiro, RJ, Brasil",2023-01-02,31.0,23.0,26.5,35.5,23.0,28.0,21.7,76.3,0.0,0,0.0,,0,,24.1,20.5,212.2,1010.4,18.4,11.9,198.2,17.0,7,30,2023-01-02T05:11:31,2023-01-02T18:41:48,0.35,Clear,Clear conditions throughout the day.,clear-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
2,"Rio de Janeiro, RJ, Brasil",2023-01-03,33.0,25.0,28.0,39.2,25.0,29.8,21.9,70.2,0.0,0,0.0,rain,0,,64.8,36.9,337.5,1007.2,56.8,11.2,158.1,13.7,6,30,2023-01-03T05:12:10,2023-01-03T18:42:03,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
3,"Rio de Janeiro, RJ, Brasil",2023-01-04,33.0,25.0,28.0,36.5,25.0,29.8,22.1,71.7,0.0,0,0.0,rain,0,,28.1,33.3,282.6,1006.6,89.7,11.2,115.5,9.9,4,10,2023-01-04T05:12:50,2023-01-04T18:42:18,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
4,"Rio de Janeiro, RJ, Brasil",2023-01-05,25.0,22.0,23.5,25.0,22.0,23.5,21.5,88.8,0.0,0,0.0,rain,0,,42.8,18.3,128.3,1009.8,100.0,7.6,61.4,5.1,3,10,2023-01-05T05:13:30,2023-01-05T18:42:31,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
5,"Rio de Janeiro, RJ, Brasil",2023-01-06,23.0,20.8,21.9,23.0,20.8,21.9,20.3,90.7,0.0,0,0.0,rain,0,,32.4,22.2,212.7,1014.6,100.0,4.7,99.0,8.6,4,10,2023-01-06T05:14:11,2023-01-06T18:42:43,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
6,"Rio de Janeiro, RJ, Brasil",2023-01-07,21.0,19.0,20.2,21.0,19.0,20.2,19.1,93.7,0.0,0,0.0,rain,0,,18.7,12.9,294.5,1017.3,100.0,4.9,92.8,8.1,3,10,2023-01-07T05:14:52,2023-01-07T18:42:53,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
7,"Rio de Janeiro, RJ, Brasil",2023-01-08,24.3,20.0,21.8,24.3,20.0,21.8,19.7,88.0,0.0,0,0.0,rain,0,,12.2,13.0,125.7,1016.1,98.2,8.6,113.4,9.7,5,10,2023-01-08T05:15:33,2023-01-08T18:43:03,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
8,"Rio de Janeiro, RJ, Brasil",2023-01-09,24.8,21.0,22.1,24.8,21.0,22.1,21.2,94.3,0.0,0,0.0,rain,0,,8.3,18.3,149.8,1014.1,97.3,6.0,97.1,8.3,5,10,2023-01-09T05:16:15,2023-01-09T18:43:10,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
9,"Rio de Janeiro, RJ, Brasil",2023-01-10,25.1,22.0,23.7,25.1,22.0,23.7,22.2,91.9,0.0,0,0.0,rain,0,,9.7,25.9,153.9,1012.9,92.1,8.1,134.4,11.6,6,10,2023-01-10T05:16:57,2023-01-10T18:43:17,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
